#GeneAligned;AlignStart;AlignEnd;GenePosStart;GenePosEnd
2...SP70585_0690_1031;210;899;621132;621849
2...rplK_1033;1202;1627;622157;622583
2...rplA_1035;1835;2524;622790;623480
2...SP70585_0696_1043;4736;5728;625736;626729
2...SP70585_0697_1044;5730;6548;626730;627549
2...SP70585_0698_1045;6550;7335;627550;628336
2...SP70585_0702_1049;8522;14981;629566;636001
2...SP70585_0703_1051;15568;16044;636627;637104
2...SP70585_1248_1764;15658;16044;1158813;1159203
2...SP70585_0704_1052;16082;16387;637141;637447
2...SP70585_0705_1053;16435;17910;637494;638970
2...SP70585_0707_1055;18260;24966;639229;645916
2...SP70585_0708_1057;25209;25832;646163;646787
2...SP70585_1372_1927;25227;25671;1269856;1270453
2...SP70585_0710_1060;26276;26635;647229;647589
2...SP70585_0713_1062;27667;28224;648630;649188
2...SP70585_0715_1064;28483;30537;649446;651501
2...SP70585_0716_1066;30716;31576;651679;652540
2...SP70585_0717_1068;31795;32505;652750;653461
2...SP70585_0718_1069;32525;33091;653480;654047
2...SP70585_0719_1070;33102;34214;654057;655170
2...SP70585_0720_1072;34482;35219;655437;656175
2...SP70585_0721_1073;35216;36907;656171;657863
2...SP70585_0722_1075;37023;37586;657978;658542
2...zmpB_1076;37608;38584;658563;664251
2...SP70585_0724_1077;43112;44834;664319;666041
2...SP70585_0725_1078;44834;45451;666041;666659
2...SP70585_0726_1079;45501;46502;666708;667707
2...SP70585_0727_1081;46626;47585;667833;668793
2...thyA_1082;47682;48521;668889;669729
2...miaA_1084;48836;49744;670043;670952
2...hflX_1085;49737;50975;670944;672183
2...SP70585_0732_1086;50968;51591;672175;672799
2...rnz_1087;51606;52535;672813;673743
2...SP70585_0734_1088;52556;53311;673763;674519
2...SP70585_0735_1089;53365;54333;674572;675541
2...SP70585_0737_1091;54606;54986;675813;676194
2...SP70585_0739_1093;55342;56067;676549;677275
2...typA_1095;56229;58070;677436;679278
2...SP70585_0742_1098;58709;59009;679914;680214
2...SP70585_0743_1099;59079;61111;680284;682306
2...SP70585_0744_1100;61102;61743;682307;682949
2...murD_1102;61847;63200;683052;684405
2...murG_1103;63189;64247;684406;685465
2...SP70585_0747_1104;64257;65456;685474;686674
2...pyrF_1106;65689;66390;686906;687608
2...pyrE_1107;66424;67056;687641;688274
2...SP70585_0751_1110;67735;68499;688952;689717
2...SP70585_0752_1111;68499;69251;689716;690469
2...SP70585_0753_1112;69255;69960;690472;691177
2...SP70585_0754_1113;69956;70603;691173;691821
2...SP70585_0755_1114;70703;71556;691900;692761
2...SP70585_0757_1116;72326;73003;693530;694208
2...SP70585_0758_1117;72963;73643;694167;694848
2...lysS_1121;74131;75621;695337;696828
2...lctO_1123;76246;77382;697451;698588
2...SP70585_0763_1125;77939;78607;699142;699811
2...thiM_1128;78889;79672;700137;700920
2...thiE1_1129;79673;80302;700921;701551
2...SP70585_0766_1131;80861;81421;702108;702669
2...SP70585_0767_1132;81422;82807;702669;704055
2...SP70585_0768_1133;82809;83459;704056;704707
2...SP70585_0769_1134;83470;84162;704717;705410
2...thiW_1135;84167;84692;705414;705939
2...SP70585_0771_1136;84691;85494;705938;706742
2...thiE_1137;85487;86119;706734;707367
2...thiD_1139;86328;87119;707575;708367
2...SP70585_0774_1141;87485;87880;708732;709128
2...SP70585_0775_1142;87891;88262;709138;709510
2...SP70585_0776_1143;88272;90516;709519;711763
2...spxB_1145;90722;92497;711969;713745
2...SP70585_0778_1147;92608;92955;713855;714203
2...manA_1154;94348;95292;715953;716898
2...SP70585_0786_1156;97647;98063;719283;719700
2...SP70585_0787_1157;98122;99297;719758;720934
2...SP70585_0788_1158;99356;100201;720992;721838
2...SP70585_0789_1160;100326;100883;721962;722520
2...SP70585_0790_1161;100902;101369;722538;723006
2...upp_1162;101437;102087;723073;723724
2...clpP_1164;102261;102851;723898;724489
2...SP70585_0794_1166;103280;104440;724916;726077
2...SP70585_0795_1168;104708;105577;726344;727214
2...SP70585_0796_1169;105581;106537;727217;728174
2...SP70585_0797_1170;106537;107301;728173;728938
2...SP70585_0798_1171;107301;108011;728937;729648
2...SP70585_0799_1173;108319;108975;730006;730663
2...prfB_1175;109189;110178;730875;731865
2...ftsE_1176;110196;110888;731882;732575
2...SP70585_0802_1177;110881;111807;732567;733494
2...SP70585_0803_1179;112093;114273;733779;735960
2...SP70585_0804_1180;114325;115140;736011;736827
2...SP70585_0805_1182;115280;116623;736966;738310
2...metK_1184;116838;118028;738686;739877
2...SP70585_0807_1186;118581;119516;740429;741365
2...holA_1187;119550;120587;741398;742436
2...SP70585_0809_1189;120760;121365;742608;743214
2...SP70585_0810_1191;121522;122052;743369;743900
2...SP70585_0811_1192;122073;123158;743920;745006
2...SP70585_0812_1193;123158;123640;745005;745488
2...SP70585_0813_1194;123642;125183;745489;747031
2...SP70585_0814_1195;125239;126042;747087;747891
2...SP70585_0819_1203;128312;129100;750151;750940
2...rimM_1204;129131;129649;750970;751489
2...trmD_1205;129639;130358;751478;752198
2...SP70585_0822_1206;130370;130708;752209;752548
2...SP70585_0823_1207;130738;131058;752578;752899
2...SP70585_0826_1210;131577;132113;753416;753953
2...gor_1212;132310;133656;754149;755496
2...SP70585_0828_1214;133942;135141;755760;756960
2...SP70585_0829_1215;135124;135825;756943;757645
2...SP70585_0830_1216;135827;137086;757646;758906
2...metG1_1218;137210;139207;759029;761027
2...SP70585_0833_1220;139583;139903;761447;761768
2...SP70585_0834_1221;139907;140722;761771;762587
2...SP70585_0835_1222;140797;141723;762661;763588
2...fabG_1224;142048;142746;763912;764611
2...SP70585_0838_1225;142757;143236;764621;765101
2...SP70585_0839_1226;143244;143972;765108;765837
2...SP70585_0840_1227;144288;144884;765878;766526
2...SP70585_0841_1228;144858;145298;766500;766941
2...SP70585_0842_1230;145421;147967;767063;769610
2...SP70585_0843_1232;148076;148750;769718;770393
2...SP70585_0844_1233;148740;150074;770382;771717
2...SP70585_0846_1236;150535;151464;772177;773107
2...SP70585_0847_1238;151664;154114;773306;775757
2...SP70585_0848_1239;154124;155374;775766;777017
2...SP70585_0849_1240;155385;155939;777027;777582
2...SP70585_0850_1241;156024;156587;777666;778230
2...gyrB_1242;156602;158549;778244;780191
2...ezrA_1243;158630;160357;780272;782000
2...SP70585_0854_1247;161670;161969;783312;783612
2...SP70585_0855_1249;162134;162589;783776;784232
2...SP70585_1036_1486;162648;162996;951231;951579
2...SP70585_0364_594;162648;162996;320784;321132
2...SP70585_0410_660;162648;162996;362478;362826
2...SP70585_0856_1250;162666;163052;784308;784707
2...SP70585_1203_1696;162666;163019;1102257;1102611
2...SP70585_2102_2904;162666;162996;1926459;1926789
